ENDW_COMMi,PROD_COMMj,REGr,Value
capital,nmm,pak,0
capital,nmm,pol,0
capital,nmm,prt,0
capital,nmm,rou,0
capital,nmm,rus,0
capital,nmm,ssa_l,0
capital,nmm,ssa_m,0
capital,nmm,svk,0
capital,nmm,svn,0
capital,nmm,swe,0
capital,nmm,tur,0
capital,nmm,twn,0
capital,nmm,ukr,0
capital,nmm,usa,0
capital,nmm,xee,0
capital,nmm,xef,0
capital,nmm,xer,0
capital,nmm,zaf,0
capital,oap,alb,0
capital,oap,anuz,0
capital,oap,aut,0
capital,oap,bel,0
capital,oap,bgr,0
capital,oap,blr,0
capital,oap,bra,0
capital,oap,can_xna,0
capital,oap,cas,0
capital,oap,che,0
capital,oap,chn,0
capital,oap,cyp,0
capital,oap,cze,0
capital,oap,deu,0
capital,oap,dnk,0
capital,oap,esp,0
capital,oap,est,0
capital,oap,fin,0
capital,oap,fra,0
capital,oap,gbr,0
capital,oap,grc,0
capital,oap,hrv,0
capital,oap,hun,0
capital,oap,idn,0
capital,oap,ind,0
capital,oap,irl,0
capital,oap,ita,0
capital,oap,jpn,0
capital,oap,kor,0
capital,oap,lam_l,0
capital,oap,lam_m,0
capital,oap,ltu,0
capital,oap,lux,0
capital,oap,lva,0
capital,oap,mea_h,0
capital,oap,mea_m,0
capital,oap,mex,0
capital,oap,mlt,0
capital,oap,naf,0
capital,oap,nld,0
capital,oap,nor,0
capital,oap,oas_cpa,0
capital,oap,oas_l,0
capital,oap,oas_m,0
capital,oap,pak,0
capital,oap,pol,0
capital,oap,prt,0
capital,oap,rou,0
capital,oap,rus,0
capital,oap,ssa_l,0
capital,oap,ssa_m,0
capital,oap,svk,0
capital,oap,svn,0
capital,oap,swe,0
capital,oap,tur,0
capital,oap,twn,0
capital,oap,ukr,0
capital,oap,usa,0
capital,oap,xee,0
capital,oap,xef,0
capital,oap,xer,0
capital,oap,zaf,0
capital,ocr,alb,0
capital,ocr,anuz,0
capital,ocr,aut,0
capital,ocr,bel,0
capital,ocr,bgr,0
capital,ocr,blr,0
capital,ocr,bra,0
capital,ocr,can_xna,0
capital,ocr,cas,0
capital,ocr,che,0
capital,ocr,chn,0
capital,ocr,cyp,0
capital,ocr,cze,0
capital,ocr,deu,0
capital,ocr,dnk,0
capital,ocr,esp,0
capital,ocr,est,0
capital,ocr,fin,0
capital,ocr,fra,0
capital,ocr,gbr,0
capital,ocr,grc,0
capital,ocr,hrv,0
capital,ocr,hun,0
capital,ocr,idn,0
capital,ocr,ind,0
capital,ocr,irl,0
capital,ocr,ita,0
capital,ocr,jpn,0
capital,ocr,kor,0
capital,ocr,lam_l,0
capital,ocr,lam_m,0
capital,ocr,ltu,0
capital,ocr,lux,0
capital,ocr,lva,0
capital,ocr,mea_h,0
