ENDW_COMMi,PROD_COMMj,REGr,Value
capital,pdr,eu15,0
capital,pdr,idn,0
capital,pdr,ind,0
capital,pdr,jpn,0
capital,pdr,kor,0
capital,pdr,lam_l,0
capital,pdr,lam_m,0
capital,pdr,mea_h,0
capital,pdr,mea_m,0
capital,pdr,mex,0
capital,pdr,naf,0
capital,pdr,oas_cpa,0
capital,pdr,oas_l,0
capital,pdr,oas_m,0
capital,pdr,pak,0
capital,pdr,rus,0
capital,pdr,ssa_l,0
capital,pdr,ssa_m,0
capital,pdr,tur,0
capital,pdr,twn,0
capital,pdr,usa,0
capital,pdr,zaf,0
capital,pfb,anuz,0
capital,pfb,bra,0
capital,pfb,can_xna,0
capital,pfb,cas,0
capital,pfb,chn,0
capital,pfb,eeu,0
capital,pfb,eeu_fsu,0
capital,pfb,efta,0
capital,pfb,eu12_h,0
capital,pfb,eu12_m,0
capital,pfb,eu15,0
capital,pfb,idn,0
capital,pfb,ind,0
capital,pfb,jpn,0
capital,pfb,kor,0
capital,pfb,lam_l,0
capital,pfb,lam_m,0
capital,pfb,mea_h,0
capital,pfb,mea_m,0
capital,pfb,mex,0
capital,pfb,naf,0
capital,pfb,oas_cpa,0
capital,pfb,oas_l,0
capital,pfb,oas_m,0
capital,pfb,pak,0
capital,pfb,rus,0
capital,pfb,ssa_l,0
capital,pfb,ssa_m,0
capital,pfb,tur,0
capital,pfb,twn,0
capital,pfb,usa,0
capital,pfb,zaf,0
capital,rmk,anuz,0
capital,rmk,bra,0
capital,rmk,can_xna,0
capital,rmk,cas,0
capital,rmk,chn,0
capital,rmk,eeu,0
capital,rmk,eeu_fsu,0
capital,rmk,efta,0
capital,rmk,eu12_h,0
capital,rmk,eu12_m,0
capital,rmk,eu15,0
capital,rmk,idn,0
capital,rmk,ind,0
capital,rmk,jpn,0
capital,rmk,kor,0
capital,rmk,lam_l,0
capital,rmk,lam_m,0
capital,rmk,mea_h,0
capital,rmk,mea_m,0
capital,rmk,mex,0
capital,rmk,naf,0
capital,rmk,oas_cpa,0
capital,rmk,oas_l,0
capital,rmk,oas_m,0
capital,rmk,pak,0
capital,rmk,rus,0
capital,rmk,ssa_l,0
capital,rmk,ssa_m,0
capital,rmk,tur,0
capital,rmk,twn,0
capital,rmk,usa,0
capital,rmk,zaf,0
capital,sgr,anuz,0
capital,sgr,bra,0
capital,sgr,can_xna,0
capital,sgr,cas,0
capital,sgr,chn,0
capital,sgr,eeu,0
capital,sgr,eeu_fsu,0
capital,sgr,efta,0
capital,sgr,eu12_h,0
capital,sgr,eu12_m,0
capital,sgr,eu15,0
capital,sgr,idn,0
capital,sgr,ind,0
capital,sgr,jpn,0
capital,sgr,kor,0
capital,sgr,lam_l,0
capital,sgr,lam_m,0
capital,sgr,mea_h,0
capital,sgr,mea_m,0
capital,sgr,mex,0
capital,sgr,naf,0
capital,sgr,oas_cpa,0
capital,sgr,oas_l,0
capital,sgr,oas_m,0
capital,sgr,pak,0
capital,sgr,rus,0
capital,sgr,ssa_l,0
capital,sgr,ssa_m,0
capital,sgr,tur,0
capital,sgr,twn,0
capital,sgr,usa,0
capital,sgr,zaf,0
capital,svs,anuz,0
capital,svs,bra,0
capital,svs,can_xna,0
capital,svs,cas,0
capital,svs,chn,0
capital,svs,eeu,0
capital,svs,eeu_fsu,0
capital,svs,efta,0
capital,svs,eu12_h,0
capital,svs,eu12_m,0
capital,svs,eu15,0
capital,svs,idn,0
capital,svs,ind,0
capital,svs,jpn,0
capital,svs,kor,0
capital,svs,lam_l,0
capital,svs,lam_m,0
capital,svs,mea_h,0
capital,svs,mea_m,0
capital,svs,mex,0
capital,svs,naf,0
capital,svs,oas_cpa,0
capital,svs,oas_l,0
capital,svs,oas_m,0
capital,svs,pak,0
capital,svs,rus,0
capital,svs,ssa_l,0
capital,svs,ssa_m,0
capital,svs,tur,0
capital,svs,twn,0
capital,svs,usa,0
capital,svs,zaf,0
capital,trd,anuz,0
capital,trd,bra,0
capital,trd,can_xna,0
capital,trd,cas,0
capital,trd,chn,0
capital,trd,eeu,0
capital,trd,eeu_fsu,0
capital,trd,efta,0
capital,trd,eu12_h,0
capital,trd,eu12_m,0
capital,trd,eu15,0
capital,trd,idn,0
capital,trd,ind,0
capital,trd,jpn,0
capital,trd,kor,0
capital,trd,lam_l,0
capital,trd,lam_m,0
capital,trd,mea_h,0
capital,trd,mea_m,0
capital,trd,mex,0
capital,trd,naf,0
capital,trd,oas_cpa,0
capital,trd,oas_l,0
capital,trd,oas_m,0
capital,trd,pak,0
capital,trd,rus,0
capital,trd,ssa_l,0
capital,trd,ssa_m,0
capital,trd,tur,0
capital,trd,twn,0
capital,trd,usa,0
capital,trd,zaf,0
capital,tsp,anuz,0
capital,tsp,bra,0
capital,tsp,can_xna,0
capital,tsp,cas,0
capital,tsp,chn,0
capital,tsp,eeu,0
capital,tsp,eeu_fsu,0
capital,tsp,efta,0
capital,tsp,eu12_h,0
capital,tsp,eu12_m,0
capital,tsp,eu15,0
capital,tsp,idn,0
capital,tsp,ind,0
capital,tsp,jpn,0
capital,tsp,kor,0
